state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,AKOKWA HALL I,04/18/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12106/12106-1677679443.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,AKOKWA HALL II,04/18/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12107/12107-1677665638.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,AGULU HALL I,04/18/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12108/12108-1677665143.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,AGULU HALL II,04/18/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12109/12109-1677664511.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,TOWNSHIP PRY. SCHOOL I,04/18/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12110/12110-1677664097.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,TOWNSHIP PRY. SCHOOL II,04/18/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12111/12111-1677662694.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"14, UDI STREET I",04/18/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12114/12114-1677661514.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"9, ZIKS AVENUE I",04/18/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12112/12112-1677649705.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"9, ZIKS AVENUE II",04/18/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12113/12113-1677649553.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"14, UDI STREET II",04/18/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/12115/12115-1677649014.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,OPEN SPACE AT OZUBULU /AKOKWA STREET JUNCTION   I,04/18/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122294/122294-1677648859.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,OPEN SPACE AT OZUBULU /AKOKWA STREET JUNCTION   II,04/18/04/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122295/122295-1677648594.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"OPEN SPACE BESIDE TRANSFORMER I, IN FRONT OF NO. 18, OZUBULU STREET.",04/18/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122296/122296-1677648452.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"OPEN SPACE BESIDE TRANSFORMER II,  IN FRONT OF NO. 18, OZUBULU STREET .",04/18/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122297/122297-1677648279.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"TOWNSHIP PRIMARY SCHOOL III , FRONT OF HEAD TEACHER'S OFFICE.",04/18/04/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122298/122298-1677648156.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"TOWNSHIP PRIMARY SCHOOL IV, FRONT OF STAIRCASE.",04/18/04/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122299/122299-1677648039.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"TOWNSHIP PRIMARY SCHOOL V, FRONT OF LIBRARY.",04/18/04/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122300/122300-1677647848.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"OPEN SPACE BESIDE TRANSFORMER, IN FRONT OF 21/8 ,ZIK AVENUE.",04/18/04/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122301/122301-1677637890.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"OPEN SPACE IN FRONT OF NO. 4 ,UDI STR/OFILI JUNCTION.",04/18/04/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122302/122302-1677637679.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,"OPEN SPACE IN FRONT OF NO.2,ONUORAIKEME STREET.",04/18/04/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122303/122303-1677637515.pdf,true
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,BATA SQUARE I,04/18/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/04/pu/011/011-1677402157.pdf,false
ANAMBRA,ONITSHA -SOUTH,FEGGE 1,BATA SQUARE II,04/18/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/04/pu/012/012-1677387127.pdf,false
