state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,GAMAWA,GAMAWA,"WURO BULLI, WURO BULLI VILLAGE",05/07/01/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3199/ward/18655/pu/14136/14136-1677768528.pdf,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR S. KAFI \A\"" VETERNINARY CLINIC""",05/07/01/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14110/result_172326_1677662274_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR ABUJA B GAMAWA EAST PRI SCH. II,05/07/01/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR ABUJA A GAMAWA EAST PRI SCH. I,05/07/01/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624181/result_172360_1677614376_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR AUDU DOGO B DAY PRI. SCH,05/07/01/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624180/result_172359_1677614273_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SARKIN HAUSAWA, GIDAN WANKA KASUWA",05/07/01/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624179/result_172358_1677614204_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SARKIN GABU,  IBRAHIM IBRAHIM PRI. SCH",05/07/01/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624178/result_172357_1677614122_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SAJA AMADU, TOWN SHIP STADIUM II",05/07/01/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624177/result_172356_1677614044_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SAJA AMADU, TOWN SHIP STADIUM 1",05/07/01/038,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624176/result_172355_1677611771_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"JUNGUDORI,  JUNGUDORI VILLAGE",05/07/01/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14125/result_172341_1677610396_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR UMBA,  LOCAL GOVERNMENT GARAGE",05/07/01/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624175/result_172354_1677610289_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SARKIN KAFI, GJDSS",05/07/01/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624174/result_172353_1677610176_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR SARKI HAMIDU,  KONGO COMMUNITY BORE HOLE",05/07/01/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624173/result_172352_1677609791_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR ABDU BATURE,  TOWN MATERNITY",05/07/01/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624172/result_172351_1677609690_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR BABA B ASIBITI NEAR BABBAN GIDA,05/07/01/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624171/result_172350_1677609514_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR BABA A, GIDAN BAKI",05/07/01/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624170/result_172349_1677609412_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR BABA A ECONOMIC PLANNING OFFICE,05/07/01/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624169/result_172348_1677609283_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"RABORI,   RABORI  VILLAGE",05/07/01/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14131/result_172347_1677609181_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"NINGIRI KAMA,  NINGIRI  KAMA  VILLAGE",05/07/01/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14130/result_172346_1677609099_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"MALURI,  MALURI VILLAGE",05/07/01/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14129/result_172345_1677608993_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"KUNCHI KUNI,  KUNCHI  KUNI  VILLAGE",05/07/01/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14128/result_172344_1677608857_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"SABAYO,  SABAYO VILLAGE",05/07/01/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14126/result_172342_1677608464_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"KOKORI,  KOKORI VILLAGE",05/07/01/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14124/result_172340_1677608230_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"GAYAU, GAYAU  VILLAGE III",05/07/01/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14123/result_172339_1677607974_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"GAYAU, G. SANGO VILLAGE II",05/07/01/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14122/result_172338_1677607857_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"GAYAU, G. SANGO VILLAGE I",05/07/01/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14121/result_172337_1677607772_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"BALE,  BALE VILLAGE",05/07/01/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14120/result_172336_1677607662_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"AMARCHIYARI AMARCHI, VILLAGE OPEN SPACE",05/07/01/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14119/result_172335_1677607540_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  UNGUWAR AUDU DOGO, DAY PRIMARY SCHOOL",05/07/01/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14118/result_172334_1677607409_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  UNGUWAR BAPPA MALAM, DAY PRIMARY SCHOOL",05/07/01/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14117/result_172333_1677605976_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  S. HAUSAWA, CENTRAL PRIMARY SCHOOL II",05/07/01/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14116/result_172332_1677604429_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  S. HAUSAWA, CENTRAL PRIMARY SCHOOL I",05/07/01/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14115/result_172331_1677603744_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  SARKIN GABU, IBRAHIM PRIMARY SCHOOL",05/07/01/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14114/result_172330_1677600987_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR  SAJE ADAMU, L.G. GAREGE",05/07/01/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14113/result_172329_1677600673_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR UMBA, L.G. GAREGE II",05/07/01/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14112/result_172328_1677600282_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR UMBA, L.G. GAREGE I",05/07/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14111/result_172327_1677599044_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR S. HAMIDU, ISLAMIC SCHOOL",05/07/01/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14109/result_172325_1677597775_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR ABDU BATURE CENTRAL PRIMARY SCHOOL I,05/07/01/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14106/result_172322_1677589829_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR S/NOMA  ABDU BATURE \C\""   DISPENSARY CLINIC""",05/07/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14108/result_172324_1677593214_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR S/NOMA \A\""  WOMEN CENTRA""",05/07/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14104/result_172320_1677589103_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR S/NOMA \B\""   ISLAMIC SCHOOL""",05/07/01/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14105/result_172321_1677589373_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,UNGUWAR ABDU BATURE CENTRAL PRIMARY SCHOOL II,05/07/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14107/result_172323_1677591300_thumb.jpg,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR BABA \ B\""  LICENCE OFFICE""",05/07/01/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,GAMAWA,GAMAWA,"UNGUWAR BABA \A\""  ECON  PLAN OFFICE""",05/07/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14102/result_172318_1677587599_thumb.jpg,false
