state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,GANJUWA,KUBI EAST,KANFANIN DAN FULANI PRI SCH,05/08/05/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624225/result_172740_1677746021_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"PANGA, KOFAR SARKI",05/08/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14454/result_172729_1677685039_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"D/DENAWA,  D/DENAWA PRIMARY SCHOOL",05/08/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14453/result_172728_1677684910_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,ZUWAN FULANI PRIMARY SCHOOL,05/08/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14455/result_172730_1677684915_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"KAKKUMA, KAKKUMA PRIMARY SCHOOL",05/08/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14452/result_172727_1677684886_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,ZALANGA  ZALANGA PRIMARY SCHOOL II,05/08/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14451/result_172726_1677684807_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"DIRYA, YAGA PRIMARY SCHOOL",05/08/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14456/result_172731_1677684687_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,ZALANGA ZALANGA PRIMARY SCHOOL I,05/08/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14450/result_172725_1677684698_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,YAGA  YAGA PRIMARY SCHOOL,05/08/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14457/result_172732_1677684528_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"WAILO,  WAILO PRIMARY SCHOOL",05/08/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14458/result_172733_1677684429_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"ZAMO,  ZAMO  PRIMARY SCHOOL",05/08/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14459/result_172734_1677684295_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"MARGA,  MARGA PRIMARY SCHOOL",05/08/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14460/result_172735_1677684205_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"KARE - KARE, KOFAR SARKI",05/08/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14461/result_172736_1677684057_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"GAMA DADI,  GAMADI KOFAR SARKI",05/08/05/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14462/result_172737_1677683877_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,MUSAWA KOFAR SARKIN MUSAWA,05/08/05/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14463/result_172738_1677683577_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,"TSIRI,  KOFAR SARKIN TSIRI",05/08/05/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14464/result_172739_1677683293_thumb.jpg,false
BAUCHI,GANJUWA,KUBI EAST,WAILO DISPENSARY,05/08/05/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624226/result_172741_1677682965_thumb.jpg,false
