state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,GANJUWA,MIYA  WEST,"YALWAN GAMERU,  KOFAR SARKI",05/08/08/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14518/result_172796_1677679902_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR ARI,  PRIMARY SCHOOL",05/08/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14502/result_172780_1677679857_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR WAKILI,  KOFAR SARKI",05/08/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14507/result_172785_1677679754_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR TARABU,  KOFAR SARKI",05/08/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14506/result_172784_1677679732_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAN S. KUDU,  KOFAR SARKI",05/08/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14504/result_172782_1677679604_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR BUBA,  KOFAR MAI ANGUWA",05/08/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14503/result_172781_1677679613_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR SARKIN GABAS II,  KOFAR SARKI",05/08/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14501/result_172779_1677679378_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR SARKIN GABAS I,  KOFAR MAIANGUWA",05/08/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14500/result_172778_1677679307_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR GALADIMA, KOFAR MAI UNGUWA",05/08/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14499/result_172777_1677679219_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR S. HAUSAWA II, KOFAR SARKI",05/08/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14498/result_172776_1677679120_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"UNGUWAR S. HAUSAWA I, KOFAR SARKI",05/08/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14497/result_172775_1677679064_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,GAMERU DISPENSARY,05/08/08/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624235/result_172807_1677678955_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,BULUM PRI SCH,05/08/08/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624234/result_172806_1677678898_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,GALAN MAKERA PRI SCH,05/08/08/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624233/result_172805_1677678802_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,PRIMARY HEALTH CARE MIYA,05/08/08/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624232/result_172804_1677678758_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,MDG'S COMPUTER CENTRE,05/08/08/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,GANJUWA,MIYA  WEST,K.K FOOTBALL FIELD,05/08/08/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624229/result_172801_1677678532_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,GOV'T JUNIOR SEC SCH MIYA,05/08/08/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624230/result_172802_1677678479_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,MIYA MODEL PRI HEALTH CARE CENTRE,05/08/08/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624228/result_172800_1677678328_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"JILI,  KOFAR SARKI",05/08/08/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14516/result_172794_1677678257_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"GALA,  KOFAR SARKI",05/08/08/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14515/result_172793_1677678165_thumb.jpg,false
BAUCHI,GANJUWA,MIYA  WEST,"SIRI BABA  II,  PRIMARY SCHOOL",05/08/08/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/14514/result_172792_1677678108_thumb.jpg,false
