state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,NINGI,BURRA / KYATA,"SABUWAR KAURA,   KOFAR MAI UNGUWA",05/15/08/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15785/15785-1677601590.pdf,false
BAUCHI,NINGI,BURRA / KYATA,KYATTA PUBLIC BORE HOLE,05/15/08/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/131864/131864-1677601285.pdf,true
BAUCHI,NINGI,BURRA / KYATA,"KYATA  II,   KOFAR A. ABDU",05/15/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15778/15778-1677600961.pdf,true
BAUCHI,NINGI,BURRA / KYATA,"K/GALADIMA,  KYATA PRIMARY SCHOOL",05/15/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15777/15777-1677600753.pdf,false
BAUCHI,NINGI,BURRA / KYATA,BAKIN KASUWA OPEN SPACE,05/15/08/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/131860/131860-1677600457.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"BURRA,   BURRA PRIMARY SCHOOL",05/15/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15768/15768-1677600030.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"UNGUWAR KANAWA,  KOFAR JIBRIN",05/15/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15771/15771-1677599773.pdf,true
BAUCHI,NINGI,BURRA / KYATA,"INJAU,  KOFAR MAI UNGUWA",05/15/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15774/15774-1677599480.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"MAGAMI  A/S II,  MAGAMI PRIMARY SCHOOL",05/15/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15773/15773-1677599084.pdf,false
BAUCHI,NINGI,BURRA / KYATA,TOWNSHIP MATERNITY,05/15/08/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/131858/131858-1677598767.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"WUMBA,   KOFAR MAI UNGUWA",05/15/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15775/15775-1677598017.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"KYATA  III,   K/G  SARKIN KYATA",05/15/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15779/15779-1677597559.pdf,true
BAUCHI,NINGI,BURRA / KYATA,"BINGILABO/TERI,   KOFAR MAI UNGUWA",05/15/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15776/15776-1677597282.pdf,false
BAUCHI,NINGI,BURRA / KYATA,KYATA PRI SCH II,05/15/08/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/131863/131863-1677596659.pdf,true
BAUCHI,NINGI,BURRA / KYATA,UNG YAMMA,05/15/08/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/131859/131859-1677596344.pdf,true
BAUCHI,NINGI,BURRA / KYATA,"PANNA DERU,   PANNA PRIMARY SCHOOL",05/15/08/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15783/15783-1677595504.pdf,false
BAUCHI,NINGI,BURRA / KYATA,"TIPCHI,  TIPCHI PRIMARY SCHOOL",05/15/08/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3207/ward/18745/pu/15786/15786-1677595074.pdf,false
