state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,SHIRA,SHIRA,"UNG. HADEJAWA,  DEV. AREA OFFICE I",05/16/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16024/result_174675_1677577741_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,YALWA KOFAR SARKI,05/16/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16031/result_174682_1677575663_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,MASUKWANI KOFAR SARKI,05/16/08/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16036/result_174687_1677576427_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,GARIN MAINA UKU KOFAR JAURO,05/16/08/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16038/result_174689_1677576588_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,DAGAUDA KOFAR SARKIN JAN DUTSE,05/16/08/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16035/result_174686_1677576295_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,UNG. SABO KOFAR JAURO,05/16/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16026/result_174677_1677578102_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,KUNGO YAMMA KOFAR SARKI,05/16/08/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16045/result_174696_1677577477_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,TSUMBA  KOFAR SARKI,05/16/08/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16043/result_174694_1677577732_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,"UNG. HADEJAWA,  DEV. AREA OFFICE II",05/16/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16025/result_174676_1677578170_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,ELDEWO GABAS KOFAR SARKI,05/16/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16029/result_174680_1677578175_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,RIMI PRIMARY SCHOOL,05/16/08/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16047/result_174698_1677578209_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,YANA TUDUN WADA PRIMARY SCHOOL II,05/16/08/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675516/result_174716_1677578046_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,KUNGO KOFAR SARKI,05/16/08/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16044/result_174695_1677576738_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,ILLIYARI  KOFAR SARKI,05/16/08/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16037/result_174688_1677577843_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,DANGO YAMMA  O.P.H.,05/16/08/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16040/result_174691_1677576961_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,YANAKUDU PRIMARY SCHOOL,05/16/08/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16056/result_174707_1677575540_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,BAGE KUDU PRIMARY  SCHOOL,05/16/08/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16060/result_174711_1677577531_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,GWADAN - GWADAN KOFAR MAI UNGUWA,05/16/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16027/result_174678_1677575089_thumb.jpg,false
BAUCHI,SHIRA,SHIRA,YARKA PRIMARY SCHOOL,05/16/08/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16034/result_174685_1677577407_thumb.jpg,false
