state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,TAFAWA BALEWA,BULA,YOLAN GITAL,05/17/08/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624523/result_174960_1677690078_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,BULA II,05/17/08/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624525/result_174962_1677683498_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,TUDUN WADA,05/17/08/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624524/result_174961_1677683300_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,GITAL PHC,05/17/08/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624522/result_174959_1677683089_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,JAMBIL II,05/17/08/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TAFAWA BALEWA,BULA,GITAL NOMADIC,05/17/08/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624521/result_174958_1677682802_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"BULA,   BULA DISPENSARY",05/17/08/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16242/result_174956_1677682568_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"BUNDOT,   KOFAR SARKI",05/17/08/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16241/result_174955_1677682413_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"FULANIN KABBA,   SHALL DISPENSARY",05/17/08/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16240/result_174954_1677682280_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"SHALL,   SHALL PRIMARY SCHOOL",05/17/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TAFAWA BALEWA,BULA,"PEKMAN,   KOFAR SARKI",05/17/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16238/result_174952_1677681996_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"YALWAN SAYAWA,     PRIMARY SCHOOL",05/17/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TAFAWA BALEWA,BULA,"YAMGAN,   YAMGAN  PRIMARY SCHOOL",05/17/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16236/result_174950_1677681556_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"GITAL   III,   GITAL PRIMARY SCHOOL",05/17/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16235/result_174949_1677680474_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"GITAL   II,   GITAL PRIMARY SCHOOL",05/17/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16234/result_174948_1677680299_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"GITAL I,   GITAL PRIMARY SCHOOL",05/17/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16233/result_174947_1677680161_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"WURO JABAN,   KOFAR SARKI",05/17/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16232/result_174946_1677680006_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"TALKWASHAK,   KOFAR SARKI",05/17/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16231/result_174945_1677679792_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"LATANGAL,   KOFAR SARKI",05/17/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16230/result_174944_1677679491_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"TENAM,   KOFAR SARKI",05/17/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16229/result_174943_1677679315_thumb.jpg,false
BAUCHI,TAFAWA BALEWA,BULA,"JAMBIL,   JAMBIL PRIMARY SCHOOL",05/17/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16228/result_174942_1677678966_thumb.jpg,false
