state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAUCHI,TORO,JAMA'A / ZARANDA,"ZARANDA WEST  I,   PRIMARY SCHOOL",05/18/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3210/ward/18776/pu/16451/16451-1677604964.pdf,true
BAUCHI,TORO,JAMA'A / ZARANDA,"G/HABE I,   KOFAR SARKI",05/18/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16449/result_175278_1677605820_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"ZARANDA WEST   IV,   KOFAR SARKI",05/18/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16448/result_175277_1677605749_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"ZARANDA WEST   III,   KOFAR SARKI",05/18/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16447/result_175276_1677605626_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"T / KANAWA,   KOFAR SARKI",05/18/06/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TORO,JAMA'A / ZARANDA,"ZARANDA WEST   II,   PRIMARY SCHOOL",05/18/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16446/result_175275_1677605512_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"NABORDO NORTH  I,  VIEWING CENTRE",05/18/06/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TORO,JAMA'A / ZARANDA,"NABORDO NORTH  III,  VIEWING CENTRE",05/18/06/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16469/result_175298_1677604691_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"BALLA,   KOFAR SARKI",05/18/06/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16464/result_175293_1677604373_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"DULUMIN HABE,  KOFAR SARKI",05/18/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16459/result_175288_1677604092_thumb.jpg,true
BAUCHI,TORO,JAMA'A / ZARANDA,"NABORDO NORTH  II,  VIEWING CENTRE",05/18/06/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16468/result_175297_1677603579_thumb.jpg,false
BAUCHI,TORO,JAMA'A / ZARANDA,"BOLU,   KOFAR SARKI",05/18/06/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAUCHI,TORO,JAMA'A / ZARANDA,JUGANDAPASU BOREHOLE,05/18/06/052,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624617/result_175325_1677601665_thumb.jpg,false
BAUCHI,TORO,JAMA'A / ZARANDA,SABON GARIN ZARANDA PRIMARY SCHOOL,05/18/06/051,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624616/result_175324_1677601277_thumb.jpg,false
BAUCHI,TORO,JAMA'A / ZARANDA,NABORDO NORTH VIII PRI. SCH.,05/18/06/048,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624613/result_175321_1677600677_thumb.jpg,false
BAUCHI,TORO,JAMA'A / ZARANDA,BALANZIR BOREHOLE ZARANDA,05/18/06/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/624612/result_175320_1677600411_thumb.jpg,false
