state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA II,06/02/08/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/026/026-1677400326.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,EMGBIDIWARE,06/02/08/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/022/022-1677398094.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,AZUZUWARE I SQUARE I,06/02/08/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/028/028-1677397279.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,AZIDEKEOREYEINE SQUARE,06/02/08/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/030/030-1677395383.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA III,06/02/08/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/027/027-1677393855.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,OGBOSAINWARE QTRS,06/02/08/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/021/021-1677392740.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA VI,06/02/08/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/033/033-1677370690.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,ESELEMOEREGBENE/ONDUDUMOGBENE/OKORTIEGBENE,06/02/08/034,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/034/034-1677366404.pdf,false
BAYELSA,EKEREMOR,OPOROMOR III,ONDUDUGBENE COMMUNITY REST HOUSE,06/02/08/038,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE EZONFATONGULE,06/02/08/040,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE BY AYEWARE QTRS,06/02/08/039,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE AGBANAWARE,06/02/08/036,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE AZUZUWARE II,06/02/08/041,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE CLOSE TO ADENEKEWARE REST HOUSE,06/02/08/037,,false
BAYELSA,EKEREMOR,OPOROMOR III,OPEN SPACE OCTOBA-AMA II,06/02/08/042,,false
BAYELSA,EKEREMOR,OPOROMOR III,OKOROTIE-GBENE QTRS,06/02/08/003,,false
BAYELSA,EKEREMOR,OPOROMOR III,WEKY PACACE QTRS,06/02/08/008,,false
BAYELSA,EKEREMOR,OPOROMOR III,OLOUGBENE/OMUKOROGBENE/COMPOUND,06/02/08/013,,false
BAYELSA,EKEREMOR,OPOROMOR III,DUWOIBAL/OGBOBOBOU/DESIN PEREPOR/OTIEWEI/EGBIRIOPOMU- COMPOUND,06/02/08/005,,false
BAYELSA,EKEREMOR,OPOROMOR III,AZIKPOWARE QTRS,06/02/08/018,,false
BAYELSA,EKEREMOR,OPOROMOR III,TOMUBULOU/EGOUGBOUN. COMPOUND,06/02/08/010,,false
BAYELSA,EKEREMOR,OPOROMOR III,ADENEKEWARE,06/02/08/023,,false
BAYELSA,EKEREMOR,OPOROMOR III,BRANGO QTRS,06/02/08/015,,false
BAYELSA,EKEREMOR,OPOROMOR III,PENA-OWEIWARE,06/02/08/020,,false
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA I,06/02/08/025,,false
BAYELSA,EKEREMOR,OPOROMOR III,AGOMOWARE 11,06/02/08/035,,false
BAYELSA,EKEREMOR,OPOROMOR III,EGBALEBOKOGBENE/ATIMIGBENE/EGBI RIGBENUE/EGBEDE-QTRS,06/02/08/001,,false
BAYELSA,EKEREMOR,OPOROMOR III,AKAGBEGBENE/ZIOTON GHAGBENE/BEMAPUDE-QTRS,06/02/08/006,,false
BAYELSA,EKEREMOR,OPOROMOR III,ZINCGBENE/ETINBIRI QTRS,06/02/08/004,,false
BAYELSA,EKEREMOR,OPOROMOR III,CALIFORNIA/MARCUS QTRS,06/02/08/009,,false
BAYELSA,EKEREMOR,OPOROMOR III,OKPEGBENE/ASENEGBENE - OPOMUGBENE COMPOUND,06/02/08/011,,false
BAYELSA,EKEREMOR,OPOROMOR III,SEIGHA,06/02/08/014,,false
BAYELSA,EKEREMOR,OPOROMOR III,DUWOISUOGHAWARE QTRS,06/02/08/019,,false
BAYELSA,EKEREMOR,OPOROMOR III,AGBANAWARE QTRS I,06/02/08/016,,false
BAYELSA,EKEREMOR,OPOROMOR III,AYEWARE QTRS,06/02/08/024,,false
BAYELSA,EKEREMOR,OPOROMOR III,AZUZUWARE II SQUARE II,06/02/08/029,,false
BAYELSA,EKEREMOR,OPOROMOR III,KUMORGBENE/OCTOBA-AMA COMPOUND,06/02/08/002,,false
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA IV,06/02/08/031,,false
BAYELSA,EKEREMOR,OPOROMOR III,GBENE/AKPAMA/CHURCH/ KIRIKANEYE COMPOUND,06/02/08/007,,false
BAYELSA,EKEREMOR,OPOROMOR III,OLAFAGBENE/SAPELEGBENE QTRS,06/02/08/012,,false
BAYELSA,EKEREMOR,OPOROMOR III,AGOMOWARE QTRS II,06/02/08/017,,false
BAYELSA,EKEREMOR,OPOROMOR III,AYAMA V,06/02/08/032,,false
