state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BAYELSA,YENAGOA,BISENI 1,OBUMAWARI OPEN SPACE,06/08/12/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BAYELSA,YENAGOA,BISENI 1,BISENI SEC SCHOOL I,06/08/12/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625103/result_176881_1677604836_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,OWEIWARI OPEN SPACE,06/08/12/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18712/result_176875_1677604739_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,KRISALA OPEN SPACE,06/08/12/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18715/result_176878_1677602488_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,KILAMAKUNU OPEN SPACE,06/08/12/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18716/result_176879_1677602006_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,BISENI SEC SCHOOL II,06/08/12/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625104/result_176882_1677601175_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,KUROBIRI SQUARE/TECH SCH,06/08/12/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625138/result_176880_1677600118_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,AJEFONWARI OPEN SPACE,06/08/12/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18713/result_176876_1677599322_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,TAMBIRI OPEN SPACE,06/08/12/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18711/result_176874_1677598067_thumb.jpg,false
BAYELSA,YENAGOA,BISENI 1,OGOINTI OPEN SPACE,06/08/12/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/18710/result_176873_1677597207_thumb.jpg,false
