state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BENUE,ADO,IGUMALE II,"UMENYI, PLAY GROUND",07/01/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/005/005-1677404967.pdf,false
BENUE,ADO,IGUMALE II,WESLEY PRI. SCH. CAMP I,07/01/05/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/011/011-1677403268.pdf,false
BENUE,ADO,IGUMALE II,"AKPA VILLAGE, PLAY GROUND",07/01/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/008/008-1677401712.pdf,false
BENUE,ADO,IGUMALE II,"ETENYI, MKT SQ.",07/01/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677401314.pdf,false
BENUE,ADO,IGUMALE II,"UMU-IGBOKE, PLAY GROUND",07/01/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677389616.pdf,false
BENUE,ADO,IGUMALE II,"MISSION GROUND, PLAY GROUND",07/01/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/009/009-1677381200.pdf,false
BENUE,ADO,IGUMALE II,"IKPENGBE, PLAY GROUND",07/01/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/007/007-1677379896.pdf,false
BENUE,ADO,IGUMALE II,IT-ITE UMUEZEOKA PLAY GROUND,07/01/05/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/012/012-1677379345.pdf,false
BENUE,ADO,IGUMALE II,"CAMP. I, MKT. SQ.",07/01/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677379337.pdf,false
BENUE,ADO,IGUMALE II,"CAMP III, MKT. SQ.",07/01/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/010/010-1677378858.pdf,false
BENUE,ADO,IGUMALE II,"CAMP II, L.G. DISPENSARY",07/01/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677377576.pdf,false
BENUE,ADO,IGUMALE II,"UJE-UMUEZOKOHA, PLAY GROUND",07/01/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/004/004-1677371941.pdf,false
