state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, OCHORO - OCHORO",07/10/02/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, IKPEM - IKPEM",07/10/02/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20194/result_180062_1677678798_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, KPE-ALA - KPE-ALA",07/10/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20189/result_180057_1677678687_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, ABA - ABA",07/10/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20186/result_180054_1677677882_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,GBINDE MARKET I - GBINDE,07/10/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20198/result_180066_1677677634_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, MUTA - MUTA",07/10/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20191/result_180059_1677677494_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, KIBOUGH - KIBOUGH",07/10/02/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20195/result_180063_1677676595_thumb.jpg,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,TSE-TYO MARKET,07/10/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3230/ward/19021/pu/133094/133094-1677466885.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,COMMUNITY SEC. SCH. MANTA,07/10/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3230/ward/19021/pu/133093/133093-1677465720.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, AYEV - AYEV",07/10/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3230/ward/19021/pu/20195/20195-1677465065.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,MANTA MARKET - MANTA,07/10/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3230/ward/19021/pu/20197/20197-1677462483.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,SHIRIKI MARKET - SHIRIKI,07/10/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3230/ward/19021/pu/20206/20206-1677458862.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, AKAABIAM - AKAABIAM",07/10/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/002/002-1677427629.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, MANTA - MANTA",07/10/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/012/012-1677426432.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,LGEA HEALTH CENTRE YAKELA,07/10/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/016/016-1677426047.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, GBADEMA - GBADEMA",07/10/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/008/008-1677423689.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,"LGED SCHOOL, BATURE - BATURE",07/10/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/007/007-1677416398.pdf,false
BENUE,KONSHISHA,MBAGUSA/MBATSER,GBINDE MARKET II - MHOR PARK,07/10/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/02/pu/015/015-1677411111.pdf,false
