state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BENUE,KWANDE,MBADURA,"SHIMANA AMATA, RCM. PRI. SCHOOL, SHIMANA",07/11/04/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20454/result_180387_1677774529_thumb.jpg,false
BENUE,KWANDE,MBADURA,"RCM. PRI. SCHOOL, GUSA, SCHOOL PREMISES",07/11/04/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20463/result_180396_1677774373_thumb.jpg,false
BENUE,KWANDE,MBADURA,"LGEA PRI. SCHOOL, AYAGA, SCHOOL PREMISES",07/11/04/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20464/result_180397_1677772562_thumb.jpg,false
BENUE,KWANDE,MBADURA,"LGEA PRI. SCHOOL, BOAGUNDU, SCHOOL PREMISES",07/11/04/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20462/result_180395_1677771955_thumb.jpg,false
BENUE,KWANDE,MBADURA,"KUSUGH, AT THE APPROACH OF KUSUGH COMPOUND",07/11/04/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20466/result_180399_1677771035_thumb.jpg,false
BENUE,KWANDE,MBADURA,"LGEA PRI. SCHOOL, SHIKAAN, SCHOOL PREMISES",07/11/04/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20469/result_180402_1677770536_thumb.jpg,false
BENUE,KWANDE,MBADURA,"NKST PRI. SCHOOL, TUM I, SCHOOL PREMISES",07/11/04/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20456/result_180389_1677769775_thumb.jpg,false
BENUE,KWANDE,MBADURA,"LGEA SCHOOL, ATSUA, SCHOOL PREMISES",07/11/04/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20458/result_180391_1677769393_thumb.jpg,false
BENUE,KWANDE,MBADURA,WANNUNE MARKET SQUARE,07/11/04/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625889/result_180405_1677769291_thumb.jpg,false
BENUE,KWANDE,MBADURA,"KAUN GADIM, NEAR KAUN MARKET SQUARE",07/11/04/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20465/result_180398_1677769067_thumb.jpg,false
BENUE,KWANDE,MBADURA,SASHANIK OPEN SPACE,07/11/04/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625888/result_180404_1677768608_thumb.jpg,false
BENUE,KWANDE,MBADURA,"NYAGBA CLINIC, WITHIN PREMISES OF CLINIC",07/11/04/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20460/result_180393_1677765232_thumb.jpg,false
BENUE,KWANDE,MBADURA,"RCM. PRI. SCHOOL, INJORSHA, SCHOOL PREMISES",07/11/04/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20455/result_180388_1677763682_thumb.jpg,false
BENUE,KWANDE,MBADURA,"ANGOR, CLOSE TO ANGOR COMPOUND",07/11/04/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20467/result_180400_1677761250_thumb.jpg,false
BENUE,KWANDE,MBADURA,MBATANGE OPEN SPACE,07/11/04/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/625887/result_180403_1677760718_thumb.jpg,false
BENUE,KWANDE,MBADURA,"NKST. PRI. SCHOOL, AKUJI, SCHOOL PREMISES",07/11/04/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20459/result_180392_1677756383_thumb.jpg,false
BENUE,KWANDE,MBADURA,"IMANDE WENDE, BEFORE WENDE MARKET",07/11/04/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20461/result_180394_1677752755_thumb.jpg,false
BENUE,KWANDE,MBADURA,"TSE GBAGA, BEFORE TSE GBAGA COMPOUND",07/11/04/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20468/result_180401_1677750790_thumb.jpg,false
BENUE,KWANDE,MBADURA,"NKST PRI. SCHOOL, TUM II, NEAR TSE AWA",07/11/04/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/20457/result_180390_1677750116_thumb.jpg,false
