state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BENUE,OGBADIBO,ITABONO II,AMEJU/OLEMPE/EJAA/AGBEBO - AGBEBO PLAY GROUND,07/15/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/008/008-1677390553.pdf,false
BENUE,OGBADIBO,ITABONO II,OBENJIRA/IPOLE EJAA - IPOLE EJAA PLAY GROUND,07/15/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/007/007-1677390170.pdf,false
BENUE,OGBADIBO,ITABONO II,OKPUDU/OKPOTO/IKPOCHI/EHICHO I - AHO OKPUDU MARKET SQUARE,07/15/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/003/003-1677389577.pdf,false
BENUE,OGBADIBO,ITABONO II,AI-EDE - AKPUGO PLAY GROUND,07/15/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/005/005-1677389128.pdf,false
BENUE,OGBADIBO,ITABONO II,EHA-ULEKE/AI-UJA - AI-UJA PRIMARY SCHOOL,07/15/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/002/002-1677376727.pdf,false
BENUE,OGBADIBO,ITABONO II,IPOLE-ITABONO - EDE MARKET SQUARE,07/15/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/001/001-1677375997.pdf,false
BENUE,OGBADIBO,ITABONO II,OBENJIRA TOWN HALL,07/15/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/010/010-1677374561.pdf,false
BENUE,OGBADIBO,ITABONO II,OGWURUTE II - AKPAROJI - OGWURUTE,07/15/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/009/009-1677374375.pdf,false
BENUE,OGBADIBO,ITABONO II,OGWURUTE I - OFU - OGWURUTE AI-AROSA HALL,07/15/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/006/006-1677372777.pdf,false
BENUE,OGBADIBO,ITABONO II,"OKPUDU/OKPOTO/OGBE MARKET II - LGEA SCHOOL, OKPUDU",07/15/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/09/pu/004/004-1677370855.pdf,false
