state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BENUE,OTUKPO,OTUKPO TOWN EAST,BEHIND POLICE BARRACKS GRA OPEN SPACE,07/19/09/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626516/result_182272_1677761617_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,10 EGWA AVE GRA UNDER A TREE,07/19/09/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626515/result_182271_1677761456_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OKPOBEKA OPEN SPACE,07/19/09/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626514/result_182270_1677761341_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,LGEA PRIMARY SCHOOL OGOME,07/19/09/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626513/result_182269_1677761221_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OBAGANYA II OPEN SPACE,07/19/09/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626512/result_182268_1677761100_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,FRONT OF FORMER SDP SECRETARIAT ASA I,07/19/09/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626511/result_182267_1677761002_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,ASA ROUNDABOUT OPEN SPACE,07/19/09/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626510/result_182266_1677760879_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,8TH MAN QUARTERS AFTER EVENT CENTER UNDER A TREE,07/19/09/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626509/result_182265_1677760722_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OLENA OPEN SPACE OPP. GEORGE OBE JUNCTION,07/19/09/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626508/result_182264_1677760641_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,BEHIND WESLEY HIGH SCH. BY TRANSFORMER  OPEN SPACE,07/19/09/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626507/result_182263_1677760535_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,10 ENUGU  STREET OPEN SPACE,07/19/09/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626506/result_182262_1677760421_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OPP. 10 ULAYI  STREET OPEN SPACE,07/19/09/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626505/result_182261_1677760318_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OPP. 12 LUMUMBA STREET OPEN SPACE,07/19/09/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626504/result_182260_1677760202_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OPP. NAPRI OFFICE OLENA OPEN SPACE,07/19/09/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626503/result_182259_1677760075_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,OPP. 23 COL. ISHAKU STREET BABYLON OPEN SPACE,07/19/09/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626502/result_182258_1677759976_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,ST MARY PRIMARY SCHOOL III,07/19/09/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626501/result_182257_1677759695_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,open space (near No 7 jc Obande street),07/19/09/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/136071/result_182256_1677759414_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"NO. 27 KADUNA STREET, UNDER A TREE",07/19/09/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21702/result_182255_1677759217_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"NEAR ST. ANNE'S, AT GATE",07/19/09/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21701/result_182254_1677759111_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"GENERAL HOSPITAL GATE, AT THE GATE",07/19/09/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21700/result_182253_1677759005_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"EBOLOGBA, OPEN SPACE",07/19/09/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21699/result_182252_1677758765_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"OBAGANYA, OPEN SPACE",07/19/09/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21698/result_182251_1677758654_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"OUTSIDE COURT FENCE, OPEN SPACE",07/19/09/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21697/result_182250_1677758560_thumb.jpg,false
BENUE,OTUKPO,OTUKPO TOWN EAST,"ASA EHICHO, NEAR PRISONS",07/19/09/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/21696/result_182249_1677758484_thumb.jpg,false
