state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,BAYO,TELI,GEDABA PRI. SCH,08/04/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23065/result_183968_1677575054_thumb.jpg,false
BORNO,BAYO,TELI,BULAMA KABBI,08/04/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23064/result_183967_1677574949_thumb.jpg,false
BORNO,BAYO,TELI,GARINGADO PRY.SCH,08/04/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23063/result_183966_1677574793_thumb.jpg,false
BORNO,BAYO,TELI,KOFAR LAWAN GARIN GADO,08/04/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626825/result_183971_1677575374_thumb.jpg,true
BORNO,BAYO,TELI,YARD,08/04/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23062/result_183965_1677574510_thumb.jpg,false
BORNO,BAYO,TELI,TELI PRI. SCH.,08/04/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23060/result_183963_1677574090_thumb.jpg,false
BORNO,BAYO,TELI,TELI DISPENSARY,08/04/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626824/result_183970_1677575285_thumb.jpg,false
BORNO,BAYO,TELI,TELI CENTRAL,08/04/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/23061/result_183964_1677574388_thumb.jpg,false
BORNO,BAYO,TELI,KOFAR MAI-UNGUWA SABON GARI GADO,08/04/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626826/result_183972_1677575600_thumb.jpg,true
BORNO,BAYO,TELI,TELI PRIMARY SCHOOL II,08/04/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/626823/result_183969_1677575149_thumb.jpg,false
