state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,HAWUL,MARAMA/KIDANG,PIKILAMA KASUWA,08/12/08/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627123/result_185339_1677787937_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,LAILA/TSAHUYAM,08/12/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627118/result_185334_1677787818_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,ZARA HENA,08/12/08/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627122/result_185338_1677781754_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,G.S.S. MARAMA,08/12/08/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627121/result_185337_1677781675_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,PIKILAMA,08/12/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24107/result_185333_1677781577_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,PIRKISU,08/12/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24102/result_185328_1677781446_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KIDANG III KOFAR LAWAN,08/12/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24099/result_185325_1677781310_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,WABARA,08/12/08/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627120/result_185336_1677675615_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,HUMUSU,08/12/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24101/result_185327_1677674078_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KATSINA  III,08/12/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24105/result_185331_1677672595_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KATSINA  I,08/12/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24103/result_185329_1677672392_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,WABARA BORE HOLE,08/12/08/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627119/result_185335_1677671472_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,DIKIRA,08/12/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24106/result_185332_1677669853_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KATSINA  II,08/12/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24104/result_185330_1677669176_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KIDANG II AGRIC.OFFICE,08/12/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24098/result_185324_1677668372_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,AZARE PITI,08/12/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24100/result_185326_1677606729_thumb.jpg,false
BORNO,HAWUL,MARAMA/KIDANG,KIDANG  I PRY SCH,08/12/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/24097/result_185323_1677604964_thumb.jpg,false
