state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,MAIDUGURI M. C.,MAFONI,ALH. ADAMU JALLAPMA MAFONI  II,08/21/12/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25603/result_187272_1677510883_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,YERIMA BOYI  I,08/21/12/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25596/result_187265_1677510036_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ALH. MALLAM,08/21/12/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25604/result_187273_1677511202_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,BABA MODU AMSAMI,08/21/12/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25601/result_187270_1677510521_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ABBA YUSUF  II,08/21/12/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25617/result_187286_1677510576_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,YERWA CENTRAL PRI. SCH.  I,08/21/12/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25592/result_187261_1677509672_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,BUKAR BAGALEMI,08/21/12/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25613/result_187282_1677510271_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ABBA ALI BULTUBE  I,08/21/12/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25618/result_187287_1677510778_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ABBA ALI BULTUBE  II,08/21/12/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25620/result_187289_1677510885_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,BUNDI GOROMA  I,08/21/12/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25605/result_187274_1677501907_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ALH. BABAYO MUYI,08/21/12/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25591/result_187260_1677509451_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,YERWA CENTRAL PRI. SCH.  II,08/21/12/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25593/result_187262_1677509767_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,BABAYO MUYI BELLO,08/21/12/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25590/result_187259_1677502344_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,MAMMAN JAJERE,08/21/12/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25600/result_187269_1677510378_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,AHMADU ALH. HARUNA,08/21/12/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25608/result_187277_1677509681_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,MODU MALTUMI KULLOMA MAFONI,08/21/12/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25614/result_187283_1677510341_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,BULAMA BALE,08/21/12/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25609/result_187278_1677501458_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,ALH. ADAMU JALLAPMA MAFONI  I,08/21/12/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25602/result_187271_1677510605_thumb.jpg,true
BORNO,MAIDUGURI M. C.,MAFONI,GONI MODU G/K,08/21/12/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25610/result_187279_1677509803_thumb.jpg,true
