state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ALH. KELLUMI,08/21/14/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25764/result_187534_1677692249_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,BULAMA KAURI,08/21/14/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25754/result_187524_1677692169_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ZANNA BUKAR BUNUBE   II,08/21/14/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25776/result_187546_1677691999_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,BULAMA ZARABE,08/21/14/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ZANNA KUNDULI,08/21/14/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25762/result_187532_1677691810_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,LAWANTI  I,08/21/14/048,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25777/result_187547_1677691599_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,BULAMA ZANNA KOLO  II,08/21/14/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25772/result_187542_1677691472_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,BULAMA ZARAMI,08/21/14/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25765/result_187535_1677691314_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MOROMTI,08/21/14/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25763/result_187533_1677691202_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MUKTAR BUKAR  II,08/21/14/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25761/result_187531_1677691094_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,GINDIN TSAMIYA,08/21/14/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25757/result_187527_1677691007_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,KANGAMARI,08/21/14/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25753/result_187523_1677690916_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MELE ZANGOMA  I,08/21/14/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25741/result_187511_1677690656_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,KAWAR MAILA  I,08/21/14/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25736/result_187506_1677690420_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MAIRARI    I,08/21/14/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/25758/result_187528_1677687474_thumb.jpg,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,CHIEF IMAM  I,08/21/14/038,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25778/25778-1677623300.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ABBAGANARAM MARKET  III,08/21/14/051,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/134987/134987-1677611675.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,GALADIMA MAIDUNOMA,08/21/14/050,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25790/25790-1677611654.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,LAWANTI   II,08/21/14/049,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25789/25789-1677611506.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ZANNA BUKAR BUNUBE   I,08/21/14/046,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25786/25786-1677611236.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MASTA NGILAIYA  II,08/21/14/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25785/25785-1677610910.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MASTA NGILAIYA  I,08/21/14/044,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25784/25784-1677610778.pdf,true
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,MUKTAR BUKAR  I,08/21/14/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25771/25771-1677608866.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,GONI FANTAMI,08/21/14/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25766/25766-1677608275.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ALH. UMAR NA ALH. LAWAN - SHEHURI,08/21/14/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25763/25763-1677607718.pdf,false
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ABBAGANARAM MARKET  I,08/21/14/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25760/25760-1677607246.pdf,true
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ABBA KUTTU KUTTU  II,08/21/14/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25757/25757-1677606898.pdf,true
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,ABBA KUTTU KUTTU  I,08/21/14/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25756/25756-1677606719.pdf,true
BORNO,MAIDUGURI M. C.,SHEHURI  NORTH,OPPOSITE LIASON OFFICE,08/21/14/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3264/ward/19424/pu/25755/25755-1677606188.pdf,true
