state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,NGALA,SAGIR,KIRTA I / KIRTA PRI. SCHOOLKIRTA WULGO,08/25/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26063/result_187923_1677677760_thumb.jpg,false
BORNO,NGALA,SAGIR,SAGIR  II / SAGIR MARKET,08/25/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26066/result_187926_1677677691_thumb.jpg,false
BORNO,NGALA,SAGIR,DAN-BORE EAST / DAN-BORE PRI. SCHOOL,08/25/01/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26061/result_187921_1677677619_thumb.jpg,false
BORNO,NGALA,SAGIR,KIRTA  II / KIRTA DISPENSARY,08/25/01/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26067/result_187927_1677677539_thumb.jpg,false
BORNO,NGALA,SAGIR,SAGIR I / AGRIC CENTER,08/25/01/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26065/result_187925_1677677448_thumb.jpg,false
BORNO,NGALA,SAGIR,WAZA'A VILLAGE / WAZA'A DISPENSARY,08/25/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3268/ward/19461/pu/26071/26071-1677602875.pdf,false
BORNO,NGALA,SAGIR,DAN-BORE WEST / DAN-BORE DISPENSARY,08/25/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26062/result_187922_1677596630_thumb.jpg,false
BORNO,NGALA,SAGIR,BULA-NGAFE / BULA-NGAFE TOWN,08/25/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26059/result_187919_1677594421_thumb.jpg,false
BORNO,NGALA,SAGIR,LAWANTI II / SAGIR CENTRAL PRI. SCHOOL,08/25/01/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
BORNO,NGALA,SAGIR,LAWANTI I / SAGIR CENTRAL PRI. SCHOOL,08/25/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26057/result_187917_1677593532_thumb.jpg,false
BORNO,NGALA,SAGIR,GORIYA / GORIYA TOWNGORIYA GUDUN,08/25/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/25/ward/01/pu/008/008-1677358913.pdf,false
