state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
BORNO,SHANI,GASI / SALIFAWA,"JAURO GERO , LANDE KATO I",08/27/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26287/26287-1677600651.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"JAURO SHINDO , PESHINGO",08/27/03/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26292/26292-1677599606.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"JAURO GERO , LANDE KATO II",08/27/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26288/26288-1677599256.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"KOFAR LAWAN , PANSHANI",08/27/03/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26294/26294-1677597835.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"JAURO MUSA , SARAWUYA",08/27/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26281/26281-1677597670.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"KOFAR BULAMA , KOBURUT",08/27/03/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26293/26293-1677597448.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"JAURO MAINA,TASHAN MAINA  I",08/27/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26279/26279-1677594909.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"JAURO MAINA,TASHAN MAINA  II",08/27/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26280/26280-1677594286.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"KUBO DENO. PRI. SCH. , KUBO DENO  I",08/27/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26285/26285-1677593852.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"BAKIN TASHA , KURNGULUNG I",08/27/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26289/26289-1677593107.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"JAURO GENO , FUNGURU",08/27/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26291/26291-1677590971.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"JAURO SIDDI , KULTHI",08/27/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26284/26284-1677589904.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"KOFAR B. MUSA , PAHRA  II",08/27/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26278/26278-1677589174.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"KOFAR LAWAN , KUBO DENO  II",08/27/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26286/26286-1677588736.pdf,false
BORNO,SHANI,GASI / SALIFAWA,"KOFAR B. DANLADI , GASI KURNGULUNG",08/27/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26276/26276-1677588025.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"MAI UNGUWA MISALI , SABON SARA  I",08/27/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3270/ward/19487/pu/26282/26282-1677587162.pdf,true
BORNO,SHANI,GASI / SALIFAWA,"KOFAR B. MUSA , PAHRA  I",08/27/03/002,,false
BORNO,SHANI,GASI / SALIFAWA,"MAI UNGUWA MISALI , SABON SARA  II",08/27/03/008,,false
BORNO,SHANI,GASI / SALIFAWA,"KOFAR MAI UNGUWA , KURNGULUNG  II",08/27/03/015,,false
