state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
CROSS RIVER,BEKWARRA,UKPAH,"HEALTH POST, UKPARIBU",09/05/10/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627999/result_253340_1677645100_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"ST. ANTHONY'S PRIMARY SCHOOL,
UKPAH",09/05/10/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627998/result_253339_1677644931_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,ASHANKPE PLAYGROUND,09/05/10/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627997/result_253338_1677644834_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"OPEN SPACE AGBUGBUNG, OFF
UNWAPU-UKPARIBU ROAD",09/05/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627996/result_253337_1677644774_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"PRIMARY HEALTH CENTRE, UKPAH",09/05/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/627995/result_253336_1677644636_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"UWAGBA PLAYGROUND, UKPAH",09/05/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26896/result_253335_1677644566_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"ST. PHINBAR'S PRIMARY SCHOOL, UKARIBU",09/05/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26895/result_253334_1677644482_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,UKPAH MARKET SQUARE,09/05/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26894/result_253333_1677644400_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"ST. STEPHEN'S PRIMARY SCHOOL, UKPAH",09/05/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26893/result_253332_1677644330_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"PLAYGROUND, AGBALU",09/05/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26892/result_253331_1677644242_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"PLAY GROUND, UKPARIBU",09/05/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26891/result_253330_1677644171_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,UNWAPU PLAYGROUND,09/05/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26890/result_253329_1677644114_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"PLAY GROUND, AGIM",09/05/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26889/result_253328_1677644051_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,HOLY CHILD CONVENT PRIMARY SCHOOL UKPAH,09/05/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
CROSS RIVER,BEKWARRA,UKPAH,BUS STOP MARKET SQUARE UKPAH,09/05/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26887/result_253326_1677643915_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,COMMUNITY SEC. SCH. UKPAH,09/05/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26886/result_253325_1677643836_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"ST. AUGUSTINE'S PRIMARY SCHOOL, UKPAH (B)",09/05/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26885/result_253324_1677643767_thumb.jpg,false
CROSS RIVER,BEKWARRA,UKPAH,"ST. AUGUSTINE'S PRIMARY SCHOOL, UKPAH (A)",09/05/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26884/result_253323_1677643671_thumb.jpg,false
