state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
CROSS RIVER,BOKI,BUDA,GOVT. PRIM. SCH. BITIAH,09/07/05/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628049/result_251031_1677672513_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND OWUO-ETUEN,09/07/05/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27103/result_251030_1677672394_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  BINI",09/07/05/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27102/result_251029_1677672305_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  KAKUBOK",09/07/05/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27101/result_251028_1677672215_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND, NKANYIA",09/07/05/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27100/result_251027_1677672127_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  OKONDE",09/07/05/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27099/result_251026_1677672028_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAY GROUND,  KAK. IRRUAN III",09/07/05/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27098/result_251025_1677671878_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND KAK. IRRUAN II,09/07/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27097/result_251024_1677671781_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND KAK. IRRUAN I,09/07/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27096/result_251023_1677671684_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  NJAWA",09/07/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27095/result_251022_1677671539_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  BANSHIE",09/07/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27094/result_251021_1677671339_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND OWERRO,09/07/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27093/result_251020_1677671187_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND BITIAH,09/07/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27092/result_251019_1677671030_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND ATSE-KETO,09/07/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27091/result_251018_1677670898_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND ADIKPU,09/07/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
CROSS RIVER,BOKI,BUDA,PLAY GROUND KALEEM,09/07/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27089/result_251016_1677670681_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,PLAYGROUND KATCHUAN,09/07/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27088/result_251015_1677670540_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PLAYGROUND,  OIL MILL",09/07/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27087/result_251014_1677670318_thumb.jpg,false
CROSS RIVER,BOKI,BUDA,"PRIMARY SCHOOL,  KATCHUAN",09/07/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27086/result_251013_1677670188_thumb.jpg,false
