state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
CROSS RIVER,CALABAR SOUTH,ONE (1),CULTURAL CENTRE I,09/09/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27329/result_252753_1677590273_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE BOGOBIRI/QUEEN DUKE,09/09/01/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628310/result_252769_1677581297_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),RED CROSS,09/09/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27335/result_252759_1677582778_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE GOLDIE / BEDWELL JUNCTION,09/09/01/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628312/result_252771_1677581046_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),REHEARSAL CENTRE,09/09/01/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628304/result_252763_1677580515_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),MARY SLESSOR/ITU STREET,09/09/01/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27332/result_252756_1677579143_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE IN FRONT OF MAIN BOWL,09/09/01/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628305/result_252764_1677582312_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE NEAR ANTI-CULTISM POLICE UNIT,09/09/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628303/result_252762_1677579799_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE MARY SLESSOR/ITU STREET JUNCTION,09/09/01/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628308/result_252767_1677581913_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),MATERNITY/HIGH COURT I,09/09/01/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27336/result_252760_1677578978_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),CULTURAL CENTRE II,09/09/01/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27330/result_252754_1677583791_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),ETIM EDEM/GOLDIE STREET,09/09/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27334/result_252758_1677589684_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE CULTURAL CENTRE CAR PARK,09/09/01/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628307/result_252766_1677580906_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),FAMILY HEALTH CARE BLOCK,09/09/01/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628314/result_252773_1677581188_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE UNDER STAIRCASE CULTURAL CENTRE,09/09/01/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628306/result_252765_1677589455_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),EDEM ODO/BOGOBIRI STREET,09/09/01/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27333/result_252757_1677587191_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE ETIM EDEM/ETIM EDEM  LANE JUNCTION,09/09/01/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628311/result_252770_1677578053_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),BY CLINICAL STUDENTS LODGE,09/09/01/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628315/result_252774_1677588298_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE ITU/BARRACKS ROAD,09/09/01/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628309/result_252768_1677582063_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),OPEN SPACE GARDEN/ HEWETT JUNCTION,09/09/01/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/628313/result_252772_1677578530_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),CULTURAL CENTRE III,09/09/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27331/result_252755_1677583103_thumb.jpg,false
CROSS RIVER,CALABAR SOUTH,ONE (1),MATERNITY/HIGH COURT II,09/09/01/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/27337/result_252761_1677584399_thumb.jpg,false
