state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
CROSS RIVER,IKOM,OLULUMO,PLAY GROUND AKAM,09/11/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/008/008-1677412210.pdf,false
CROSS RIVER,IKOM,OLULUMO,"PLAY GROUND,  EMMORROW",09/11/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/006/006-1677411833.pdf,false
CROSS RIVER,IKOM,OLULUMO,GOVERNMENT SECONDARY SCHOOL AKAM,09/11/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/015/015-1677409998.pdf,false
CROSS RIVER,IKOM,OLULUMO,"PLAYGROUND, IYAMI",09/11/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/001/001-1677402618.pdf,false
CROSS RIVER,IKOM,OLULUMO,PLAYGROUND EFFI I,09/11/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/003/003-1677401902.pdf,false
CROSS RIVER,IKOM,OLULUMO,UPPER EFFI JUNCTION,09/11/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/004/004-1677401892.pdf,false
CROSS RIVER,IKOM,OLULUMO,PLAY GROUND OMON,09/11/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/005/005-1677401386.pdf,false
CROSS RIVER,IKOM,OLULUMO,"PRIMARY SCHOOL, OKUNI COMPOUND B",09/11/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/009/009-1677401247.pdf,false
CROSS RIVER,IKOM,OLULUMO,TOWN HALL EKAFU,09/11/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/014/014-1677401202.pdf,false
CROSS RIVER,IKOM,OLULUMO,"PRIMARY SCHOOL, OKUNI COMPOUND A",09/11/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/002/002-1677400713.pdf,false
CROSS RIVER,IKOM,OLULUMO,BUS STOP AKAM,09/11/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/007/007-1677398216.pdf,false
CROSS RIVER,IKOM,OLULUMO,UCC JUNCTION UPPER EFFI,09/11/10/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/013/013-1677398208.pdf,false
CROSS RIVER,IKOM,OLULUMO,"COMMUNITY SECONDARY SCHOOL, OKUNI",09/11/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/011/011-1677398138.pdf,false
CROSS RIVER,IKOM,OLULUMO,"OLULUMO BUS STOP, OKUNI",09/11/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/012/012-1677398135.pdf,false
CROSS RIVER,IKOM,OLULUMO,COMMUNITY SECONDARY SCHOOL OKUNI,09/11/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/10/pu/010/010-1677361577.pdf,false
